year,month,pageview_all_views,pageview_mobile_views,pageview_desktop_views,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views
2007,12,0,0,0,2998331524,2998331524,0
2008,01,0,0,0,4930902570,4930902570,0
2008,02,0,0,0,4818393763,4818393763,0
2008,03,0,0,0,4955405809,4955405809,0
2008,04,0,0,0,5159162183,5159162183,0
2008,05,0,0,0,5584691092,5584691092,0
2008,06,0,0,0,5712104279,5712104279,0
2008,07,0,0,0,5306302874,5306302874,0
2008,08,0,0,0,5140155519,5140155519,0
2008,09,0,0,0,5479533823,5479533823,0
2008,10,0,0,0,5679440782,5679440782,0
2008,11,0,0,0,5415832071,5415832071,0
2008,12,0,0,0,5211708451,5211708451,0
2009,01,0,0,0,5802681551,5802681551,0
2009,02,0,0,0,5547320860,5547320860,0
2009,03,0,0,0,6295159057,6295159057,0
2009,04,0,0,0,5988817321,5988817321,0
2009,05,0,0,0,6267516733,6267516733,0
2009,06,0,0,0,5818924182,5818924182,0
2009,07,0,0,0,5801646978,5801646978,0
2009,08,0,0,0,5790850384,5790850384,0
2009,09,0,0,0,4057515768,4057515768,0
2009,10,0,0,0,6016107147,6016107147,0
2009,11,0,0,0,5768486910,5768486910,0
2009,12,0,0,0,5426505977,5426505977,0
2010,01,0,0,0,5703465285,5703465285,0
2010,02,0,0,0,5762451418,5762451418,0
2010,03,0,0,0,6661347946,6661347946,0
2010,04,0,0,0,6618552152,6618552152,0
2010,05,0,0,0,6410578775,6410578775,0
2010,06,0,0,0,4898035014,4898035014,0
2010,07,0,0,0,5296177638,5296177638,0
2010,08,0,0,0,7381346660,7381346660,0
2010,09,0,0,0,7546488744,7546488744,0
2010,10,0,0,0,10172844562,10172844562,0
2010,11,0,0,0,6948678354,6948678354,0
2010,12,0,0,0,7001952100,7001952100,0
2011,01,0,0,0,7568511227,7568511227,0
2011,02,0,0,0,6906248849,6906248849,0
2011,03,0,0,0,7326545928,7326545928,0
2011,04,0,0,0,6835492088,6835492088,0
2011,05,0,0,0,7009799378,7009799378,0
2011,06,0,0,0,6536675534,6536675534,0
2011,07,0,0,0,6571730164,6571730164,0
2011,08,0,0,0,6514500361,6514500361,0
2011,09,0,0,0,5837738935,5837738935,0
2011,10,0,0,0,6974424665,6974424665,0
2011,11,0,0,0,7507641641,7507641641,0
2011,12,0,0,0,6396357939,6396357939,0
2012,01,0,0,0,7808477339,7808477339,0
2012,02,0,0,0,7530127141,7530127141,0
